,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BAJAJFINSV.NS,BEL.NS,BAJAJHLDNG.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,ITC.NS,INDUSINDBK.NS,INFY.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SUNPHARMA.NS,TCS.NS,TATACONSUM.NS,TATASTEEL.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS
ADANIENT.NS,1.0,0.8145094049123951,0.5969059659964422,0.3624513970594492,0.586535064888845,0.6680879358596817,0.46154889387708686,0.16175581329813216,0.8478988294961012,0.5859052153557789,0.7797230301083382,0.7265555534946591,0.6499165628228025,0.3299651248208044,0.8186269317067061,0.5169642203024927,0.7508073616336332,0.6865974153174221,0.3470347651326071,0.41307328628783124,0.7477818113158574,0.7006974936641452,0.7767426724338647,0.12066316980548086,0.6641273890888533,0.3695674535719303,0.7713203665745889,0.1283479183056841,0.6691141407245946,0.29912565255710827,0.6137849306579549,0.699618718826934,0.6425061206722611,0.40477632099566296,0.7575101068958935,0.6190515273856044,0.6904782417663499,0.24696413731738803,0.7788690197099943,0.7451427766578131,0.6750980322225426,0.1316763025298729,0.5119810247041057,0.5694397311130103,0.3850960502975366,0.6169019116988048,0.5799338850055417,0.5784088238673953,0.5278293790591988
ADANIPORTS.NS,1.0,1.0,0.029521361319877332,0.9724068157573813,0.04840859953520025,0.035980337394496166,0.4296727157291335,0.49997704625488,0.6137752973630547,0.29087165270010285,0.2549966254898117,0.22359453033867932,0.05091509472720273,0.016364936285080112,0.28057294078563944,0.19903730856504892,0.2615296156074606,0.015883182852838608,0.15126833891235553,0.3748635321849174,0.7103733771906084,0.2723280173915238,0.026005079638726936,0.7308774517772955,0.10098054689068647,0.8664919342437483,0.935860921457629,0.6555556217933742,0.14965526750264824,0.5894308209049999,0.11800961095809465,0.24754619567041664,0.15924695289633256,0.3004094110309132,0.25507373038919096,0.1011762612404582,0.0699454702546281,0.34611522652495064,0.029432488570560942,0.09489006133169264,0.042142596537220876,0.8473797262299899,0.2740443722185813,0.02099590788365358,0.14392421594682536,0.10840846745767702,0.005069721312964948,0.9157590036700338,0.8369326956420147
APOLLOHOSP.NS,1.0,1.0,1.0,0.9748434230267066,0.1259698224787787,0.4005687947602894,0.03813878162586163,0.06923626339629055,0.5391780218966608,0.37897237308588766,0.5148068875600141,0.28140928750322536,0.10577643852943597,0.09486097217815925,0.6253349281837051,0.25089263895671476,0.3994658558980695,0.010104526419885754,0.010319551561936383,0.033751882992457495,0.5577985833323749,0.47151073274749145,0.039576015150144236,0.5759560285029115,0.10569406079586346,0.9169271587371441,0.9531800207294524,0.719733030733954,0.006227476978989098,0.2365208656246383,0.5217637784299323,0.5630402708034307,0.43771739941522636,0.2877060131806571,0.43566946553326424,0.4099505012938519,0.33878527204438513,0.1108497405013022,0.02204119602625267,0.1482538175322603,0.15837406532575066,0.9502487245187738,0.059662783451232514,0.00815960691877212,0.01116137411864126,0.01518551029920762,0.005676918892731501,0.8334200050316198,0.908579806733143
ASIANPAINT.NS,1.0,1.0,1.0,1.0,0.7768825474154717,0.7399539738694135,0.7741002782023281,0.661271005789515,0.7725891108714218,0.7223200842070754,0.7586542621824529,0.717671826289447,0.8815711171706537,0.66948261777575,0.7362151882268914,0.7085497990972272,0.744466537883878,0.7099488199497423,0.6916416733543012,0.6781226444598294,0.6414585287772621,0.6937354022965514,0.8167457086630403,0.10575652852891615,0.8028024372092475,0.6588687879723887,0.6347533881363577,0.22265101644317842,0.8432798921960871,0.2225106619222712,0.7414483961532774,0.7324557534698788,0.6937086983500554,0.7803694727580568,0.7478715945821369,0.6789569154144743,0.7502775103810166,0.5865452489032592,0.8876544907263355,0.7539212209873587,0.7851508643548453,0.250930831134948,0.7762107369774993,0.7090804129547884,0.6324527015760006,0.8762046036589344,0.7287185380644021,0.33037161821378186,0.32750328123510974
AXISBANK.NS,1.0,1.0,1.0,1.0,1.0,0.07852570051153021,0.5112634934167474,0.4452934291389183,0.14258738762669926,0.13125310988810307,0.14618269909845422,0.11330466912297948,0.03852539650251182,0.10019676300944985,0.029930386305736648,0.17786226741960703,0.1850233842073558,0.05515262462204503,0.09527818438037777,0.4918606491358198,0.791894052699194,0.19438307612959227,0.0828110762322879,0.7024906454343891,0.14569626084634363,0.22328165416265033,0.8476556698432158,0.6079802870090691,0.091765563233844,0.5450591602860992,0.0037499400600332607,0.11114478477012235,0.13570664375764996,0.41929128715996966,0.05193899725344656,0.04649271222795633,0.029414745698903916,0.4588427994555035,0.07146883237152317,0.05584864435994688,0.046881803351783546,0.7275720740012773,0.27519518283508426,0.053403405043782715,0.24507634415501678,0.04386081362765086,0.043171637927492915,0.8783663536339317,0.7199992350764074
BAJAJ-AUTO.NS,1.0,1.0,1.0,1.0,1.0,1.0,0.69513104846312,0.8738064009684617,0.3906731292376251,0.5982972942178234,0.3408072596519317,0.023119803567091382,0.17984988881577846,0.5005964629292318,0.30549679602982377,0.4969929559883305,0.4754390106079981,0.3682972594232166,0.4430728602802871,0.679707188806913,0.7755139944484661,0.2549835051885314,0.4538438601882577,0.9275039849398354,0.5652565178819774,0.9172224610236885,0.9592509989493037,0.941361960371914,0.6106513263051673,0.8707072838270298,0.13723182012723367,0.3753683173742328,0.35645676807418997,0.6901043336976879,0.0063284496393747605,0.03874997418826681,0.0135456910537981,0.7040632291549864,0.40130233625677963,0.2908317435385229,0.0957724715355181,0.9679369568292167,0.7448525287683841,0.4510811201203663,0.626121958876743,0.6560960627640936,0.18198578473374954,0.9796378030377567,0.965395731423289
BAJFINANCE.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0691284135852331,0.5029500381152756,0.4112119001912842,0.34721615154052116,0.3198986821267557,0.3344190568180155,0.1981741606806086,0.4443609712568235,0.23525574770988672,0.34546651379887605,0.16737449208018734,0.08958120579671575,0.012363835223448992,0.2455127596832642,0.40913519356662054,0.21064915903995657,0.33345472204618676,0.0974211179627249,0.7334744393977866,0.7308867271431608,0.41421213398975754,0.0943904679791811,0.0071037631748170505,0.4296878829745826,0.41500290858226,0.40195808001994887,0.3094623253441058,0.42401265255643383,0.4578318946362516,0.43646973014726165,0.1529156676993167,0.05804939059840389,0.30719771546095825,0.39087306792080045,0.7930394242908835,0.1242018489348185,0.09406447159304898,0.06177349516310049,0.22933984214413022,0.1982567433960375,0.45074227459696053,0.5776691145878509
BAJAJFINSV.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6076973604635535,0.4484903038057183,0.5457968774369312,0.47430851349299724,0.49402469811305677,0.19001806024552592,0.622924251331135,0.20093084613991435,0.5570875147868668,0.14913254618373056,0.06780316554918499,0.05884182810161073,0.41749846932468315,0.5477781900595716,0.4170422250269864,0.2346909215604256,0.21061732048760856,0.6847393844599595,0.7413982370986962,0.10269092500840044,0.1566743362078516,0.04464530679478758,0.47424489906168105,0.6006133437152215,0.4601642875879524,0.3891558171959989,0.48832564295789177,0.3900460459452224,0.45194011575359555,0.21583794377852483,0.3749450557695928,0.3755501715409648,0.3195870543525278,0.5941357262762403,0.16208984445462382,0.10557930408762722,0.0161416977696947,0.24252025658681747,0.24452559487551428,0.37882879404505954,0.4818853089486148
BEL.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9700096788751719,0.13440326715571344,0.046551875587850344,0.30527346920947984,0.9427490988598864,0.3965240615715633,0.9180801035553432,0.009197836056151196,0.9075831095338367,0.9428285625967288,0.8850877864042229,0.9476017262227617,0.19641964738446932,0.46163728739292365,0.9899788141203242,0.91849758221822,0.9932898925920867,0.9932065900452742,0.9934352838835384,0.7153843328309465,0.9462810308163032,0.9529479171770538,0.3437342877950774,0.15150712845101866,0.9591016521488276,0.41474217847153705,0.659720930958453,0.9226639851908556,0.96564806960615,0.3815221966747603,0.49003480942215083,0.24052353654569175,1.0,0.9691120922726958,0.8067504982516247,0.9273446653643908,0.8430764966115223,0.9174670933854949,0.9930837442934215,0.9939493892842926
BAJAJHLDNG.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4674374078533572,0.3774231582735315,0.11081486521715594,0.2040588732329212,0.6705605891421624,0.5541211941762931,0.49137456968147325,0.3559495232508504,0.4291131032348157,0.19740916384611185,0.6957141563033007,0.4679912309757114,0.5061300714280468,0.7364144635213848,0.23311451655287718,0.7392661576056241,0.9348673701443946,0.8970460364610425,0.4122915582415527,0.6162498183781773,0.3482035034076708,0.13071279017611642,0.1316497359971886,0.5802020879080299,0.39429034826061576,0.33060459736450765,0.28273957871466376,0.72583663590891,0.2773460365419511,0.7923791450671616,0.1832268837025448,0.9446142016727426,0.6370702543694089,0.35581045809072515,0.5021058395775442,0.6946880211367173,0.1240221545365694,0.8831124920369633,0.9296526205664349
BHARTIARTL.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.024236061105442238,0.17897413216931873,0.8305140557908139,0.5559431681948255,0.6543670273512199,0.10516828559385771,0.6678552521537081,0.739062602704787,0.5250979750506594,0.7276751757467921,0.34202770169945296,0.37668842502166966,0.9399250639015876,0.5529438100650473,0.9914261906671415,0.9795705547756054,0.9596748260693567,0.42692340850281013,0.811442668971577,0.5852311228090356,0.23540879989708952,0.22441145765187764,0.7950499736842505,0.4743087511063171,0.5268431213717205,0.3798117350776264,0.7879133328473225,0.11232206936088973,0.37847206874385864,0.4525948872083064,0.9916380615341538,0.8847957962130639,0.5214642190914928,0.7204978690399133,0.7533080212168664,0.4894338203046165,0.9788917519399534,0.9831671624511893
BPCL.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08711066786859784,0.41586305745626384,0.30852805182975807,0.42429632584567156,0.14671420925712364,0.3527633438196264,0.40229895679767314,0.5185371278710011,0.7483476782119122,0.011785855349467954,0.13587044703320295,0.8586207953339433,0.31998544067042145,0.9171093684601893,0.9405721312766845,0.8977662744029695,0.4170774610307646,0.682127266433808,0.27301643100775297,0.07325550621199226,0.15058542223643206,0.47914548217879144,0.23153849989189418,0.2613734872375524,0.204664712471199,0.6700799217768714,0.08767702384129705,0.23026982202136181,0.1598315444421135,0.9515480246017249,0.5087405122904085,0.23836769008657832,0.4976296475422253,0.43469849970180185,0.22691397054098628,0.9612334511490211,0.93671130795346
BRITANNIA.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07169889721230496,0.1833173517704519,0.08311601494817245,0.0904536192682674,0.07087566590631812,0.10113210085666458,0.1659741421599638,0.706961409115856,0.12720159464355418,0.08793931611759598,0.9092584196170326,0.028037285083760913,0.7833743279218929,0.8911199020494326,0.8426026475966704,0.0636555236847809,0.5529716850172592,0.03129617455467518,0.10620629755601879,0.17033734795661493,0.4408501829222334,0.06669378023347797,0.1263471390775951,0.03688188983192075,0.25644211338771983,0.02807803890068039,0.04846697158128765,0.035213646591470346,0.9461490510451491,0.26927311491603845,0.06546727651448732,0.32710138253322785,0.09007998917338811,0.050282885172890944,0.9006303126581148,0.9124695053293511
CIPLA.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7241533971862795,0.2805160719723101,0.51287954314835,0.0207727746080897,0.005455083433607778,0.10802783280978151,0.4757496792194186,0.44446435681222995,0.36339755716419575,0.4418322152945305,0.06637139803128526,0.6415399828381427,0.9074330383448252,0.47651710159579347,0.1257798577446595,0.37299672455084154,0.12202326722511936,0.4940236463320594,0.2544946978921759,0.24331607381851378,0.5821155041500475,0.4426004577507602,0.17200552935038443,0.07223268807014134,0.3060572389715187,0.26360425448848035,0.4369468590710363,0.6129615132515085,0.034303532929539506,0.10947825323687704,0.07364905333381928,0.25979335868519826,0.0022713440336926123,0.8694650586755447,0.7732043375405008
COALINDIA.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8734506622441058,0.49905966458995366,0.816294671401379,0.9030372298612495,0.9298410659005061,0.9769076902070721,0.15674411344270855,0.6749552156409555,0.9822147664276852,0.8217478286418362,0.9850963189642499,1.0,0.9876366105248521,0.7694258384904265,0.9712661338760431,0.3551142003390366,0.5636856767239443,0.24382412310844653,0.9221637731179569,0.010346117303991603,0.008781497167030656,0.344934940646645,0.94495943590905,0.6832365891430264,0.5346811538263943,0.5134005855120106,0.9934818442545095,0.9659286563811179,0.7538415472739595,0.861696905896986,0.6812335362090578,0.789452590156601,0.9932128830835499,0.992715306748193
DRREDDY.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3609344381656123,0.2839022127695401,0.11863030387839041,0.21073898464105062,0.22486368256008177,0.3204843620013811,0.3791381742291967,0.20834660557649531,0.2300832248138059,0.7639020796077147,0.7860360176396661,0.5756738321939133,0.3046560765336096,0.23747099194546145,0.359210777065006,0.4606248256473492,0.4176778020178063,0.01784076894664752,0.4120588019927546,0.43094318697088496,0.2928926073033428,0.030042202598407643,0.21331051371946036,0.36993329780308076,0.41701348763022017,0.72203905854456,0.035131379459597316,0.21819564059394614,0.32942892271772206,0.24132471910083125,0.13425627823598496,0.8155359407736944,0.7678307859842204
