pair,profit
"('APOLLOHOSP.NS', 'ULTRACEMCO.NS')",3693.90185546875
"('EICHERMOT.NS', 'MARUTI.NS')",1715.404296875
"('BRITANNIA.NS', 'LT.NS')",1345.1484375
"('BRITANNIA.NS', 'SUNPHARMA.NS')",1183.9769287109375
"('BRITANNIA.NS', 'ULTRACEMCO.NS')",1139.23681640625
"('M&M.NS', 'MARUTI.NS')",1112.9546966552734
"('SUNPHARMA.NS', 'ULTRACEMCO.NS')",1109.2176513671875
"('BPCL.NS', 'HEROMOTOCO.NS')",982.3795471191406
"('ADANIPORTS.NS', 'CIPLA.NS')",921.4953308105466
"('HCLTECH.NS', 'ULTRACEMCO.NS')",919.224365234375
"('APOLLOHOSP.NS', 'TITAN.NS')",880.006103515625
"('ADANIPORTS.NS', 'ULTRACEMCO.NS')",854.39990234375
"('BRITANNIA.NS', 'ICICIBANK.NS')",821.6295166015625
"('HINDUNILVR.NS', 'INFY.NS')",769.876892089844
"('ADANIPORTS.NS', 'BAJAJ-AUTO.NS')",754.5439453125
"('ADANIPORTS.NS', 'SUNPHARMA.NS')",690.9702758789064
"('LT.NS', 'SUNPHARMA.NS')",686.82470703125
"('BAJAJ-AUTO.NS', 'NTPC.NS')",678.6337280273438
"('BAJAJ-AUTO.NS', 'BPCL.NS')",663.8035583496094
"('TECHM.NS', 'ULTRACEMCO.NS')",663.7744140625
"('BAJAJ-AUTO.NS', 'POWERGRID.NS')",663.6333618164062
"('GRASIM.NS', 'SUNPHARMA.NS')",661.0227966308594
"('BAJAJ-AUTO.NS', 'ONGC.NS')",648.5228881835938
"('GRASIM.NS', 'ULTRACEMCO.NS')",641.2001953125
"('GRASIM.NS', 'HCLTECH.NS')",623.1983642578125
"('AXISBANK.NS', 'BRITANNIA.NS')",617.9371337890625
"('GRASIM.NS', 'TECHM.NS')",615.03564453125
"('KOTAKBANK.NS', 'ULTRACEMCO.NS')",597.7999572753906
"('HCLTECH.NS', 'ICICIBANK.NS')",510.3817138671875
"('MARUTI.NS', 'NTPC.NS')",502.2484130859375
"('HDFCBANK.NS', 'TECHM.NS')",499.3511352539066
"('HINDUNILVR.NS', 'RELIANCE.NS')",493.0226745605469
"('CIPLA.NS', 'TATACONSUM.NS')",485.77185058593744
"('ADANIPORTS.NS', 'SBILIFE.NS')",481.8091735839844
"('BRITANNIA.NS', 'POWERGRID.NS')",458.2160949707031
"('ADANIPORTS.NS', 'HINDALCO.NS')",426.6781921386719
"('BRITANNIA.NS', 'SBILIFE.NS')",424.6807861328125
"('DRREDDY.NS', 'TATACONSUM.NS')",423.4866333007813
"('ADANIPORTS.NS', 'TATASTEEL.NS')",412.79869079589844
"('BAJAJFINSV.NS', 'TECHM.NS')",390.277282714844
"('HINDALCO.NS', 'SBILIFE.NS')",385.5015869140625
"('RELIANCE.NS', 'TATACONSUM.NS')",380.807586669922
"('CIPLA.NS', 'ULTRACEMCO.NS')",365.699951171875
"('BHARTIARTL.NS', 'BPCL.NS')",363.2061462402346
"('AXISBANK.NS', 'ULTRACEMCO.NS')",352.4000244140625
"('AXISBANK.NS', 'POWERGRID.NS')",350.7105026245117
"('ADANIPORTS.NS', 'BRITANNIA.NS')",346.5068359375
"('NESTLEIND.NS', 'RELIANCE.NS')",345.73309326171875
"('SBILIFE.NS', 'SBIN.NS')",341.2778930664065
"('ADANIPORTS.NS', 'AXISBANK.NS')",341.1949462890625
"('AXISBANK.NS', 'NTPC.NS')",340.5400314331056
"('DRREDDY.NS', 'RELIANCE.NS')",339.4418945312499
"('KOTAKBANK.NS', 'UPL.NS')",324.4443511962889
"('DRREDDY.NS', 'NESTLEIND.NS')",309.2220458984375
"('HINDUNILVR.NS', 'KOTAKBANK.NS')",287.3535461425781
"('AXISBANK.NS', 'LT.NS')",283.999755859375
"('AXISBANK.NS', 'ONGC.NS')",272.272186279297
"('AXISBANK.NS', 'COALINDIA.NS')",268.6853942871095
"('CIPLA.NS', 'HCLTECH.NS')",238.55084228515625
"('CIPLA.NS', 'GRASIM.NS')",234.79071044921875
"('LT.NS', 'NTPC.NS')",232.98934936523438
"('LT.NS', 'ONGC.NS')",224.2368621826172
"('AXISBANK.NS', 'SUNPHARMA.NS')",219.30029296874977
"('NESTLEIND.NS', 'TATACONSUM.NS')",217.77423095703125
"('LT.NS', 'POWERGRID.NS')",209.33331298828125
"('HINDALCO.NS', 'SBIN.NS')",198.58868408203102
"('BAJFINANCE.NS', 'KOTAKBANK.NS')",198.02014160156193
"('KOTAKBANK.NS', 'TECHM.NS')",166.03305053710938
"('HDFCLIFE.NS', 'KOTAKBANK.NS')",150.37535095214852
"('COALINDIA.NS', 'NTPC.NS')",128.78318786621082
"('ADANIPORTS.NS', 'GRASIM.NS')",127.295654296875
"('BAJFINANCE.NS', 'HDFCBANK.NS')",124.49993896484398
"('JSWSTEEL.NS', 'TATASTEEL.NS')",94.29002380371094
"('KOTAKBANK.NS', 'SBILIFE.NS')",93.98760986328125
"('GRASIM.NS', 'JSWSTEEL.NS')",90.44134521484375
"('COALINDIA.NS', 'ONGC.NS')",87.60673522949196
"('HDFCBANK.NS', 'KOTAKBANK.NS')",85.73417663574168
"('KOTAKBANK.NS', 'WIPRO.NS')",77.14350128173834
"('NTPC.NS', 'POWERGRID.NS')",63.52055358886716
"('POWERGRID.NS', 'SUNPHARMA.NS')",46.76641845703125
"('HDFCLIFE.NS', 'TATACONSUM.NS')",39.2279052734375
"('NTPC.NS', 'ONGC.NS')",28.04426574707034
"('HINDALCO.NS', 'JSWSTEEL.NS')",26.6151123046875
"('HINDALCO.NS', 'TATASTEEL.NS')",3.7700042724609375
"('ADANIPORTS.NS', 'APOLLOHOSP.NS')",0.0
"('APOLLOHOSP.NS', 'BAJFINANCE.NS')",0.0
"('APOLLOHOSP.NS', 'GRASIM.NS')",0.0
"('APOLLOHOSP.NS', 'HCLTECH.NS')",0.0
"('APOLLOHOSP.NS', 'HDFCBANK.NS')",0.0
"('APOLLOHOSP.NS', 'HINDALCO.NS')",0.0
"('APOLLOHOSP.NS', 'JSWSTEEL.NS')",0.0
"('APOLLOHOSP.NS', 'SBILIFE.NS')",0.0
"('APOLLOHOSP.NS', 'TATASTEEL.NS')",0.0
"('APOLLOHOSP.NS', 'TECHM.NS')",0.0
"('AXISBANK.NS', 'TITAN.NS')",0.0
"('BAJAJFINSV.NS', 'KOTAKBANK.NS')",0.0
"('GRASIM.NS', 'HINDALCO.NS')",0.0
"('GRASIM.NS', 'TATASTEEL.NS')",0.0
"('HDFCBANK.NS', 'ICICIBANK.NS')",0.0
"('KOTAKBANK.NS', 'RELIANCE.NS')",0.0
"('KOTAKBANK.NS', 'TATACONSUM.NS')",0.0
"('SBILIFE.NS', 'TITAN.NS')",0.0
"('BEL.NS', 'EICHERMOT.NS')",-506.16497802734375
